country,region,income_level,subsample,year,flfp,unemployment,female_non_agri,avg_weekly_hours
Australia,EAS,High income,All,2009,0.719464123249054,0.05358114466071129,0.9843205213546753,36.03592300415039
Australia,EAS,High income,All,2010,0.7219104170799255,0.05197291448712349,0.9861006736755371,36.00496292114258
Australia,EAS,High income,All,2011,0.7120485305786133,0.04976501688361168,0.9873425960540771,35.75062561035156
Australia,EAS,High income,All,2012,0.7088990211486816,0.05281068384647369,0.9876779317855835,35.70907974243164
Australia,EAS,High income,All,2013,0.720682680606842,0.05688232183456421,0.9888343811035156,35.46105194091797
Australia,EAS,High income,All,2014,0.7229238152503967,0.06227928772568703,0.9831613898277283,35.4874267578125
Australia,EAS,High income,All,2015,0.7305461764335632,0.05881306901574135,0.986059844493866,35.39730453491211
Austria,ECS,High income,All,2004,0.6106602549552917,0.0689128190279007,0.9567505121231079,40.01198959350586
Austria,ECS,High income,All,2005,0.6182073950767517,0.05824135988950729,0.9518383741378784,38.75903701782227
Austria,ECS,High income,All,2006,0.6166055798530579,0.08095968514680862,0.9532416462898254,38.4528923034668
Austria,ECS,High income,All,2007,0.6180441379547119,0.07864077389240265,0.9486684799194336,39.13032913208008
Austria,ECS,High income,All,2008,0.6217291355133057,0.0678064227104187,0.9513101577758789,39.49246978759766
Austria,ECS,High income,All,2009,0.640990138053894,0.08831188827753067,0.9543587565422058,38.78728103637695
Austria,ECS,High income,All,2010,0.6307368278503418,0.08054183423519135,0.9547677636146545,39.29568099975586
Austria,ECS,High income,All,2011,0.6442354917526245,0.088583804666996,0.9528112411499023,38.96976470947266
Austria,ECS,High income,All,2012,0.646729588508606,0.0783018171787262,0.9564686417579651,39.00879669189453
Austria,ECS,High income,All,2013,0.6434777975082397,0.08770071715116501,0.959388017654419,38.94752883911133
Austria,ECS,High income,All,2014,0.655117392539978,0.09957391768693924,0.9607474207878113,38.28323745727539
Austria,ECS,High income,All,2015,0.6606951355934143,0.09126748889684677,0.9630700945854187,38.27863693237305
Austria,ECS,High income,All,2016,0.6611177325248718,0.09282416105270386,0.9644027352333069,38.48422241210938
Azerbaijan,ECS,Upper middle income,All,2002,0.6034971475601196,0.09161979705095291,NA,NA
Azerbaijan,ECS,Upper middle income,All,2003,0.5926059484481812,0.0878441110253334,NA,NA
Azerbaijan,ECS,Upper middle income,All,2004,0.580439031124115,0.05000491440296173,NA,NA
Azerbaijan,ECS,Upper middle income,All,2005,0.6202080845832825,0.04647553712129593,NA,NA
Azerbaijan,ECS,Upper middle income,All,2011,0.2650761604309082,0.1158366277813911,NA,NA
Azerbaijan,ECS,Upper middle income,All,2015,0.5388718247413635,0.03145286813378334,0.5513094067573547,52.28870391845703
Belgium,ECS,High income,All,2004,0.638933539390564,0.1376703679561615,0.9867039918899536,38.96675491333008
Belgium,ECS,High income,All,2005,0.6501457095146179,0.1429589688777924,0.9895277619361877,38.50103378295898
Belgium,ECS,High income,All,2006,0.6522371768951416,0.1203314214944839,0.9869799613952637,38.42081832885742
Belgium,ECS,High income,All,2007,0.6494755744934082,0.110125407576561,0.9907426238059998,38.00366973876953
Belgium,ECS,High income,All,2008,0.649569034576416,0.1004155650734901,0.990564227104187,38.05614471435547
Belgium,ECS,High income,All,2009,0.6604543924331665,0.1086955964565277,0.9853520393371582,37.94939041137695
Belgium,ECS,High income,All,2010,0.6600688099861145,0.1090913936495781,0.9864729046821594,37.84931564331055
Belgium,ECS,High income,All,2011,0.6769185066223145,0.1087446585297585,0.9926226139068604,38.01237487792969
Belgium,ECS,High income,All,2013,0.6740667223930359,0.1091678887605667,0.9944748878479004,37.60033798217773
Belgium,ECS,High income,All,2014,0.6780824065208435,0.1140282154083252,0.9912227988243103,37.85707092285156
Belgium,ECS,High income,All,2015,0.6556739807128906,0.104924239218235,0.9879159331321716,37.99399948120117
Belgium,ECS,High income,All,2016,0.6489691138267517,0.1008392497897148,0.9939826130867004,37.91089248657227
Benin,SSF,Low income,All,2003,0.799693763256073,0.03612420707941055,NA,NA
Benin,SSF,Low income,All,2011,0.6970614790916443,0.009107091464102268,0.6375550627708435,41.72499847412109
Benin,SSF,Low income,All,2015,0.5874584913253784,0.00581782404333353,0.6614214181900024,40.97655487060547
Burkina Faso,SSF,Low income,All,1994,0.8197482824325562,0.009178650565445423,0.09748220443725586,NA
Burkina Faso,SSF,Low income,All,1998,0.851742148399353,0.007876965217292309,0.09034927934408188,NA
Burkina Faso,SSF,Low income,All,2003,0.8152820467948914,0.023288544267416,0.1271784007549286,NA
Burkina Faso,SSF,Low income,All,2005,0.8261248469352722,0.01707880571484566,0.1284441649913788,NA
Bangladesh,SAS,Lower middle income,All,1999,0.4192925691604614,0.03621439263224602,0.4805164337158203,44.28808975219727
Bangladesh,SAS,Lower middle income,All,2000,0.7198454737663269,0.01596717350184917,0.724839985370636,50.61814880371094
Bangladesh,SAS,Lower middle income,All,2003,0.2728903591632843,0.04499638080596924,0.4145275056362152,40.46099472045898
Bulgaria,ECS,Upper middle income,All,2001,0.6076294183731079,0.3477881252765656,0.9731543660163879,40.94435882568359
Bulgaria,ECS,Upper middle income,All,2003,0.6821681261062622,0.1307861357927322,0.8339522480964661,41.46704483032227
Bulgaria,ECS,Upper middle income,All,2007,0.7283999919891357,0.2397689819335938,1,42.86351776123047
Bulgaria,ECS,Upper middle income,All,2008,0.7203004360198975,0.1525788605213165,0.9346126914024353,42.34055328369141
Bulgaria,ECS,Upper middle income,Urban,2009,0.7441058158874512,0.1110658943653107,0.9812493324279785,41.86835479736328
Bulgaria,ECS,Upper middle income,Young,2009,0.3598481714725494,0.3237285912036896,0.9772905111312866,41.98555374145508
Bulgaria,ECS,Upper middle income,All,2009,0.7278463840484619,0.1558216214179993,0.940898597240448,42.07083892822266
Bulgaria,ECS,Upper middle income,Rural,2009,0.7100157737731934,0.2047915160655975,0.8892751336097717,42.31567764282227
Bulgaria,ECS,Upper middle income,Old,2009,0.7910206317901611,0.1400375664234161,0.9388938546180725,42.07703018188477
Bulgaria,ECS,Upper middle income,Low Education,2009,0.5444602966308594,0.4822275936603546,0.6381747126579285,40.05780029296875
Bulgaria,ECS,Upper middle income,Female,2009,0.7278463840484619,0.168471172451973,0.940898597240448,41.03434753417969
Bulgaria,ECS,Upper middle income,High Education,2009,0.7396676540374756,0.1411102861166,0.94855499267578125,42.12201690673828
Bulgaria,ECS,Upper middle income,All,2010,0.7239654064178467,0.1722953319549561,0.9473928809165955,41.64912414550781
Bulgaria,ECS,Upper middle income,Young,2010,0.3346680700778961,0.3964662551879883,0.9632111191749573,41.17783737182617
Bulgaria,ECS,Upper middle income,Low Education,2010,0.4985836744308472,0.4854745268821716,0.720761239528656,39.47552871704102
Bulgaria,ECS,Upper middle income,Urban,2010,0.7430235147476196,0.1169487461447716,0.9866689443588257,41.56789398193359
Bulgaria,ECS,Upper middle income,High Education,2010,0.7373484373092651,0.1575509309768677,0.952009379863739,41.70271682739258
Bulgaria,ECS,Upper middle income,Old,2010,0.7902799844741821,0.1518696993589401,0.9465928077697754,41.67951202392578
Bulgaria,ECS,Upper middle income,Female,2010,0.7239654064178467,0.1764056533575058,0.9473928809165955,40.8392219543457
Bulgaria,ECS,Upper middle income,Rural,2010,0.7014272809028625,0.2369598746299744,0.8894725441932678,41.75915145874023
Bulgaria,ECS,Upper middle income,All,2011,0.7194398641586304,0.184442326426506,0.9521512389183044,41.54685211181641
Bulgaria,ECS,Upper middle income,Old,2011,0.7805938720703125,0.1653637290000916,0.951423168182373,41.54750442504883
Bulgaria,ECS,Upper middle income,Young,2011,0.3414934873580933,0.4175706505775452,0.9669768810272217,41.53535842895508
Bulgaria,ECS,Upper middle income,Low Education,2011,0.452997624874115,0.4965806901454926,0.7808517217636108,40.33518600463867
Bulgaria,ECS,Upper middle income,Urban,2011,0.7370030879974365,0.1318515986204147,0.9887899160385132,41.44411468505859
Bulgaria,ECS,Upper middle income,High Education,2011,0.7375850677490234,0.169805034995079,0.9555191397666931,41.5688362121582
Bulgaria,ECS,Upper middle income,Rural,2011,0.699029266834259,0.2441494762897491,0.8999395370483398,41.68059539794922
Bulgaria,ECS,Upper middle income,Female,2011,0.7194398641586304,0.1726856827735901,0.9521512389183044,40.98366165161133
Bulgaria,ECS,Upper middle income,Urban,2012,0.7484975457191467,0.1552093476057053,0.9887630343437195,41.18468475341797
Bulgaria,ECS,Upper middle income,Low Education,2012,0.5088565945625305,0.4750376343727112,0.7243198752403259,38.91246032714844
Bulgaria,ECS,Upper middle income,Female,2012,0.7219324707984924,0.1781739443540573,0.9504249691963196,40.84567642211914
Bulgaria,ECS,Upper middle income,Young,2012,0.3438564240932465,0.4603424072265625,0.9498751163482666,40.95650100708008
Bulgaria,ECS,Upper middle income,All,2012,0.7219324707984924,0.1936743259429932,0.9504249691963196,41.44518280029297
Bulgaria,ECS,Upper middle income,Rural,2012,0.6614013910293579,0.2825899720191956,0.8318967223167419,42.15331649780273
Bulgaria,ECS,Upper middle income,High Education,2012,0.7349599599838257,0.1815520077943802,0.9556738138198853,41.50519180297852
Bulgaria,ECS,Upper middle income,Old,2012,0.7807734608650208,0.1735195219516754,0.9504481554031372,41.46928405761719
Bulgaria,ECS,Upper middle income,Urban,2013,0.7688196301460266,0.1656434684991837,0.9882377982139587,40.99340057373047
Bulgaria,ECS,Upper middle income,Rural,2013,0.6902814507484436,0.2673861086368561,0.8589457273483276,42.35125350952148
Bulgaria,ECS,Upper middle income,Low Education,2013,0.5793539881706238,0.5317423939704895,0.7380068302154541,38.55182647705078
Bulgaria,ECS,Upper middle income,Female,2013,0.7449749112129211,0.1826335191726685,0.9555909037590027,40.64717483520508
Bulgaria,ECS,Upper middle income,Young,2013,0.3417569100856781,0.4344444572925568,0.9834609031677246,40.71752548217773
Bulgaria,ECS,Upper middle income,High Education,2013,0.7535237669944763,0.1819590628147125,0.96164703369140625,41.44554138183594
Bulgaria,ECS,Upper middle income,All,2013,0.7449749112129211,0.1968193054199219,0.9555909037590027,41.37039947509766
Bulgaria,ECS,Upper middle income,Old,2013,0.8064978122711182,0.1786303371191025,0.9543076157569885,41.40346145629883
Bulgaria,ECS,Upper middle income,Rural,2014,0.7029780745506287,0.293798953294754,0.8566820621490479,42.15873718261719
Bulgaria,ECS,Upper middle income,Young,2014,0.3001835346221924,0.3902522325515747,0.9579578638076782,40.60634994506836
Bulgaria,ECS,Upper middle income,High Education,2014,0.7936005592346191,0.1659569591283798,0.9615853428840637,41.24654006958008
Bulgaria,ECS,Upper middle income,Old,2014,0.8259521722793579,0.1784993261098862,0.9565625786781311,41.19722366333008
Bulgaria,ECS,Upper middle income,All,2014,0.7609976530075073,0.1908063590526581,0.9566110372543335,41.17195892333984
Bulgaria,ECS,Upper middle income,Urban,2014,0.7861670255661011,0.1456829011440277,0.9885604977607727,40.81993103027344
Bulgaria,ECS,Upper middle income,Low Education,2014,0.5620088577270508,0.5786341428756714,0.7123966813087463,39.12821197509766
Bulgaria,ECS,Upper middle income,Female,2014,0.7609976530075073,0.1777238100767136,0.9566110372543335,40.35620498657227
Bulgaria,ECS,Upper middle income,Female,2015,0.7544876337051392,0.1749444901943207,0.9557949304580688,40.61878204345703
Bulgaria,ECS,Upper middle income,All,2015,0.7544876337051392,0.1830873191356659,0.9557949304580688,41.25829315185547
Bulgaria,ECS,Upper middle income,Urban,2015,0.775912344455719,0.1389141380786896,0.9848551750183105,40.86422348022461
Bulgaria,ECS,Upper middle income,Low Education,2015,0.5342190265655518,0.6421608924865723,0.6147067546844482,40.84864044189453
Bulgaria,ECS,Upper middle income,Young,2015,0.2802750170230865,0.3944429457187653,0.9516367316246033,40.69460296630859
Bulgaria,ECS,Upper middle income,High Education,2015,0.7868167161941528,0.1626763194799423,0.9601044058799744,41.30971908569336
Bulgaria,ECS,Upper middle income,Old,2015,0.8185561895370483,0.170919343829155,0.9559233784675598,41.28006744384766
Bulgaria,ECS,Upper middle income,Rural,2015,0.700454592704773,0.2931568920612335,0.8570524454116821,42.46002197265625
Bulgaria,ECS,Upper middle income,All,2016,0.7369959354400635,0.1666252017021179,0.9562771320343018,41.07937622070313
Bulgaria,ECS,Upper middle income,Female,2016,0.7369959354400635,0.1620298475027084,0.9562771320343018,40.41232299804688
Bulgaria,ECS,Upper middle income,Urban,2016,0.7623056769371033,0.1240834519267082,0.9901655912399292,40.8921012878418
Bulgaria,ECS,Upper middle income,Young,2016,0.267655074596405,0.3991475701332092,0.9677054286003113,40.32943344116211
Bulgaria,ECS,Upper middle income,Low Education,2016,0.4869079291820526,0.5909402370452881,0.574693500995636,38.62756729125977
Bulgaria,ECS,Upper middle income,Rural,2016,0.6755039095878601,0.2699035108089447,0.8422445058822632,41.631591796875
Bulgaria,ECS,Upper middle income,Old,2016,0.8002622127532959,0.1536156088113785,0.9559446573257446,41.10712432861328
Bulgaria,ECS,Upper middle income,High Education,2016,0.774284839630127,0.1435600966215134,0.9619945883750916,41.16960906982422
"Bahamas, The",LCN,High income,All,2001,0.7442259192466736,0.04015171900391579,0.9921674132347107,42.56118774414063
"Bahamas, The",LCN,High income,High Education,2001,0.7682908177375793,0.03666573017835617,0.9935778379440308,42.80804824829102
"Bahamas, The",LCN,High income,Old,2001,0.8083986639976501,0.02781031094491482,0.9907425045967102,42.93238067626953
"Bahamas, The",LCN,High income,Female,2001,0.7442259192466736,0.04410707578063011,0.9921674132347107,40.56811904907227
"Bahamas, The",LCN,High income,Young,2001,0.5281987190246582,0.09805472940206528,1,40.70584869384766
"Bahamas, The",LCN,High income,Low Education,2001,0.5478411912918091,0.0743512213230133,0.972974956035614,40.12631225585938
Bosnia and Herzegovina,ECS,Upper middle income,All,2001,0.3024982213973999,0.1874887049198151,0.9046413898468018,44.1952018737793
Bosnia and Herzegovina,ECS,Upper middle income,High Education,2001,0.4429440200328827,0.1740319281816483,0.9777673482894897,44.61040115356445
Bosnia and Herzegovina,ECS,Upper middle income,Low Education,2001,0.1567720472812653,0.2287160009145737,0.656437873840332,42.71663284301758
Bosnia and Herzegovina,ECS,Upper middle income,Rural,2001,0.3405922651290894,0.1901261806488037,0.9071585536003113,42.84423446655273
Bosnia and Herzegovina,ECS,Upper middle income,Old,2001,0.3248080313205719,0.1451256424188614,0.8999241590499878,43.95309066772461
Bosnia and Herzegovina,ECS,Upper middle income,Urban,2001,0.2494626641273499,0.183028057217598,0.8995909094810486,46.41140365600586
Bosnia and Herzegovina,ECS,Upper middle income,Female,2001,0.3024982213973999,0.2122433185577393,0.9046413898468018,41.04418182373047
Bosnia and Herzegovina,ECS,Upper middle income,Young,2001,0.2216933816671371,0.454397588968277,0.9446943402290344,46.57394409179688
Bosnia and Herzegovina,ECS,Upper middle income,Urban,2007,0.4690269529819489,0.1898224055767059,0.9837233424186707,NA
Bosnia and Herzegovina,ECS,Upper middle income,Female,2007,0.3523314893245697,0.2344595193862915,0.8830620050430298,NA
Bosnia and Herzegovina,ECS,Upper middle income,High Education,2007,0.5244350433349609,0.1828664541244507,0.9467393755912781,NA
Bosnia and Herzegovina,ECS,Upper middle income,Old,2007,0.4113988876342773,0.200554221868515,0.8832345008850098,NA
Bosnia and Herzegovina,ECS,Upper middle income,Rural,2007,0.2668892741203308,0.1991611421108246,0.75055330991745,NA
Bosnia and Herzegovina,ECS,Upper middle income,Young,2007,0.1289903819561005,0.1229433119297028,0.8812248706817627,NA
Bosnia and Herzegovina,ECS,Upper middle income,Low Education,2007,0.1440239697694778,0.2428259253501892,0.6017991900444031,NA
Bosnia and Herzegovina,ECS,Upper middle income,All,2007,0.3523314893245697,0.1949356496334076,0.8830620050430298,NA
Belarus,ECS,Upper middle income,Old,1998,0.7479106187820435,0.01656179130077362,NA,NA
Belarus,ECS,Upper middle income,Female,1998,0.7564642429351807,0.01198065001517534,NA,NA
Belarus,ECS,Upper middle income,Low Education,1998,0.1730986535549164,0.2631333768367767,NA,NA
Belarus,ECS,Upper middle income,Rural,1998,0.6892759203910828,0.02186858281493187,NA,NA
Belarus,ECS,Upper middle income,All,1998,0.7564642429351807,0.01635640859603882,NA,NA
Belarus,ECS,Upper middle income,Young,1998,0.8510255813598633,0.0143886785954237,NA,NA
Belarus,ECS,Upper middle income,Urban,1998,0.7819161415100098,0.0142787043005228,NA,NA
Belarus,ECS,Upper middle income,High Education,1998,0.7703461050987244,0.0148272980004549,NA,NA
Belarus,ECS,Upper middle income,Old,1999,0.7598755955696106,0.01722910068929195,NA,NA
Belarus,ECS,Upper middle income,Young,1999,0.8928753137588501,0.02049617283046246,NA,NA
Belarus,ECS,Upper middle income,High Education,1999,0.7907482981681824,0.0163036584854126,NA,NA
Belarus,ECS,Upper middle income,Low Education,1999,0.152773305773735,0.1696755737066269,NA,NA
Belarus,ECS,Upper middle income,All,1999,0.7712261080741882,0.01754291169345379,NA,NA
Belarus,ECS,Upper middle income,Urban,1999,0.8036184906959534,0.01515521854162216,NA,NA
Belarus,ECS,Upper middle income,Rural,1999,0.6866225600242615,0.02406542748212814,NA,NA
Belarus,ECS,Upper middle income,Female,1999,0.7712261080741882,0.01303574349731207,NA,NA
Belarus,ECS,Upper middle income,Urban,2000,0.7862648367881775,0.01307015866041183,NA,NA
Belarus,ECS,Upper middle income,Rural,2000,0.7267190217971802,0.02423363365232944,NA,NA
Belarus,ECS,Upper middle income,Young,2000,0.8718576431274414,0.02008475735783577,NA,NA
Belarus,ECS,Upper middle income,High Education,2000,0.7833296656608582,0.01507545076310635,NA,NA
Belarus,ECS,Upper middle income,Low Education,2000,0.1349927634000778,0.1902924031019211,NA,NA
Belarus,ECS,Upper middle income,Female,2000,0.7709159851074219,0.01303918287158012,NA,NA
Belarus,ECS,Upper middle income,All,2000,0.7709159851074219,0.01600094325840473,NA,NA
Belarus,ECS,Upper middle income,Old,2000,0.7622423768043518,0.01560498774051666,NA,NA
Belarus,ECS,Upper middle income,High Education,2001,0.7846143245697021,0.0139986565336585,NA,NA
Belarus,ECS,Upper middle income,Rural,2001,0.6935040354728699,0.02362198755145073,NA,NA
Belarus,ECS,Upper middle income,All,2001,0.7703506946563721,0.01597693748772144,NA,NA
Belarus,ECS,Upper middle income,Female,2001,0.7703506946563721,0.01188019197434187,NA,NA
Belarus,ECS,Upper middle income,Urban,2001,0.7977457642555237,0.01332231797277927,NA,NA
Belarus,ECS,Upper middle income,Old,2001,0.7604935169219971,0.01633879356086254,NA,NA
Belarus,ECS,Upper middle income,Young,2001,0.8768936991691589,0.01249665208160877,NA,NA
Belarus,ECS,Upper middle income,Low Education,2001,0.1885108351707458,0.2969151437282562,NA,NA
Belarus,ECS,Upper middle income,Rural,2002,0.7393326759338379,0.01197554171085358,NA,NA
Belarus,ECS,Upper middle income,Urban,2002,0.7937496900558472,0.003078602720052004,NA,NA
Belarus,ECS,Upper middle income,All,2002,0.7792372703552246,0.005447437055408955,NA,NA
Belarus,ECS,Upper middle income,Young,2002,0.8446800708770752,0.007731002755463123,NA,NA
Belarus,ECS,Upper middle income,Low Education,2002,0.06929868459701538,0.1388746052980423,NA,NA
Belarus,ECS,Upper middle income,Old,2002,0.7735465168952942,0.005218749865889549,NA,NA
Belarus,ECS,Upper middle income,High Education,2002,0.7900464534759521,0.005181081593036652,NA,NA
Belarus,ECS,Upper middle income,Female,2002,0.7792372703552246,0.00446665333583951,NA,NA
Belarus,ECS,Upper middle income,Young,2005,0.9409927129745483,0.5581454038619995,NA,NA
Belarus,ECS,Upper middle income,Rural,2005,0.7548926472663879,0.0807889923453331,NA,NA
Belarus,ECS,Upper middle income,Low Education,2005,0.6823819279670715,0.7155333757400513,NA,NA
Belarus,ECS,Upper middle income,High Education,2005,0.812069833278656,0.04605288058519363,NA,NA
Belarus,ECS,Upper middle income,All,2005,0.800374448299408,0.1063778251409531,NA,NA
Belarus,ECS,Upper middle income,Old,2005,0.7759698629379272,0.001505621010437608,NA,NA
Belarus,ECS,Upper middle income,Urban,2005,0.8166364431381226,0.1154005229473114,NA,NA
Belarus,ECS,Upper middle income,Female,2005,0.800374448299408,0.1037725731730461,NA,NA
Belarus,ECS,Upper middle income,Rural,2006,0.7000017166137695,0.06456256657838821,NA,NA
Belarus,ECS,Upper middle income,Low Education,2006,0.6368189454078674,0.6819860935211182,NA,NA
Belarus,ECS,Upper middle income,High Education,2006,0.7967037558555603,0.04207537323236465,NA,NA
Belarus,ECS,Upper middle income,All,2006,0.7821283936500549,0.09560008347034454,NA,NA
Belarus,ECS,Upper middle income,Young,2006,0.8688443899154663,0.5160818099975586,NA,NA
Belarus,ECS,Upper middle income,Urban,2006,0.812701940536499,0.1063901707530022,NA,NA
Belarus,ECS,Upper middle income,Old,2006,0.7664317488670349,0.002069718204438686,NA,NA
Belarus,ECS,Upper middle income,Female,2006,0.7821283936500549,0.09097112715244293,NA,NA
Belarus,ECS,Upper middle income,Old,2007,0.8157461285591125,0.04671934247016907,NA,NA
Belarus,ECS,Upper middle income,High Education,2007,0.816575825214386,0.05119340494275093,NA,NA
Belarus,ECS,Upper middle income,Female,2007,0.768181324005127,0.0369175411760807,NA,NA
Belarus,ECS,Upper middle income,All,2007,0.768181324005127,0.05329282581806183,NA,NA
Belarus,ECS,Upper middle income,Young,2007,0.4879972636699677,0.1101707890629768,NA,NA
Belarus,ECS,Upper middle income,Rural,2007,0.7158408164978027,0.05749243870377541,NA,NA
Belarus,ECS,Upper middle income,Urban,2007,0.7869898676872253,0.05154716223478317,NA,NA
Belarus,ECS,Upper middle income,Low Education,2007,0.2098283022642136,0.1187016293406487,NA,NA
Belarus,ECS,Upper middle income,All,2008,0.7641608119010925,0.05371195077896118,NA,NA
Belarus,ECS,Upper middle income,Rural,2008,0.7137976288795471,0.05574949830770493,NA,NA
Belarus,ECS,Upper middle income,Low Education,2008,0.168724998831749,0.1420811861753464,NA,NA
Belarus,ECS,Upper middle income,Female,2008,0.7641608119010925,0.03984828293323517,NA,NA
Belarus,ECS,Upper middle income,Old,2008,0.8160068392753601,0.04552227258682251,NA,NA
Belarus,ECS,Upper middle income,Young,2008,0.4679441452026367,0.1251242756843567,NA,NA
Belarus,ECS,Upper middle income,High Education,2008,0.8121273517608643,0.05140592157840729,NA,NA
Belarus,ECS,Upper middle income,Urban,2008,0.7828130722045898,0.05298230797052383,NA,NA
Belarus,ECS,Upper middle income,Female,2009,0.756030797958374,0.02533997409045696,NA,NA
Belarus,ECS,Upper middle income,Urban,2009,0.7656416296958923,0.03455831483006477,NA,NA
Belarus,ECS,Upper middle income,Low Education,2009,0.2029287070035934,0.1323858052492142,NA,NA
Belarus,ECS,Upper middle income,Young,2009,0.4423917829990387,0.07434341311454773,NA,NA
Belarus,ECS,Upper middle income,High Education,2009,0.795058012008667,0.03249329701066017,NA,NA
Belarus,ECS,Upper middle income,All,2009,0.756030797958374,0.03503806889057159,NA,NA
Belarus,ECS,Upper middle income,Old,2009,0.8083500862121582,0.03115392290055752,NA,NA
Belarus,ECS,Upper middle income,Rural,2009,0.723315417766571,0.03671027347445488,NA,NA
Belarus,ECS,Upper middle income,Female,2010,0.758546769618988,0.02989373356103897,NA,NA
Belarus,ECS,Upper middle income,Rural,2010,0.740339994430542,0.03844697773456573,NA,NA
Belarus,ECS,Upper middle income,All,2010,0.758546769618988,0.04542064294219017,NA,NA
Belarus,ECS,Upper middle income,Young,2010,0.4325142800807953,0.1067975908517838,NA,NA
Belarus,ECS,Upper middle income,Old,2010,0.8040155172348022,0.03987311571836472,NA,NA
Belarus,ECS,Upper middle income,High Education,2010,0.7908719182014465,0.04378722235560417,NA,NA
Belarus,ECS,Upper middle income,Urban,2010,0.7638295888900757,0.04724083468317986,NA,NA
Belarus,ECS,Upper middle income,Low Education,2010,0.1498978137969971,0.1288789361715317,NA,NA
Belize,LCN,Upper middle income,Urban,1993,0.4989209473133087,0.07909589260816574,0.9820336699485779,43.11248779296875
Belize,LCN,Upper middle income,Young,1993,0.3290322721004486,0.1018101796507835,0.9571301937103271,43.54056930541992
Belize,LCN,Upper middle income,Rural,1993,0.2232993841171265,0.03212954103946686,0.8875072598457336,45.45475769042969
Belize,LCN,Upper middle income,Female,1993,0.3764742314815521,0.07781049609184265,0.9555833339691162,39.21724319458008
Belize,LCN,Upper middle income,Low Education,1993,0.2811825573444366,0.05744975432753563,0.9308338761329651,45.11877059936523
Belize,LCN,Upper middle income,High Education,1993,0.5649763345718384,0.06199649721384048,0.9807289838790894,42.28562927246094
Belize,LCN,Upper middle income,All,1993,0.3764742314815521,0.05903021618723869,0.9555833339691162,44.13866806030273
Belize,LCN,Upper middle income,Old,1993,0.4045532047748566,0.03897235915064812,0.9548984169960022,44.40082550048828
Belize,LCN,Upper middle income,Rural,1994,0.2384627014398575,0.04032919183373451,0.8670012354850769,45.44057083129883
Belize,LCN,Upper middle income,Low Education,1994,0.2593173980712891,0.05968843400478363,0.9105446934700012,45.22647094726563
Belize,LCN,Upper middle income,Urban,1994,0.4652377068996429,0.07618770003318787,0.9959297776222229,43.19453430175781
Belize,LCN,Upper middle income,All,1994,0.3573972880840302,0.0596754401922226,0.9545245170593262,44.24507904052734
Belize,LCN,Upper middle income,Young,1994,0.3344258964061737,0.1162035539746284,0.9302546381950378,43.68386077880859
Belize,LCN,Upper middle income,High Education,1994,0.5494127869606018,0.05969417467713356,0.9949199557304382,42.41175079345703
Belize,LCN,Upper middle income,Female,1994,0.3573972880840302,0.08429329842329025,0.9545245170593262,39.56622695922852
Belize,LCN,Upper middle income,Old,1994,0.3700394034385681,0.03597571700811386,0.9650701880455017,44.4614372253418
Belize,LCN,Upper middle income,Rural,1996,0.2143642753362656,0.06837525218725204,0.8411494493484497,42.50455474853516
Belize,LCN,Upper middle income,Female,1996,0.3476864695549011,0.1127150803804398,0.9521661400794983,37.66218566894531
Belize,LCN,Upper middle income,Old,1996,0.385581910610199,0.06346579641103745,0.9529967904090881,42.454345703125
Belize,LCN,Upper middle income,High Education,1996,0.5151904821395874,0.09898525476455688,0.9912368059158325,41.31915283203125
Belize,LCN,Upper middle income,Urban,1996,0.4616903960704803,0.1170899942517281,0.9972022771835327,42.01486968994141
Belize,LCN,Upper middle income,Young,1996,0.2802592515945435,0.1714709252119064,0.9497539401054382,41.6772346496582
Belize,LCN,Upper middle income,All,1996,0.3476864695549011,0.09458523988723755,0.9521661400794983,42.24758911132813
Belize,LCN,Upper middle income,Low Education,1996,0.2501672506332397,0.0920185074210167,0.8940244317054749,42.74201965332031
Belize,LCN,Upper middle income,Rural,1997,0.2644230723381042,0.05113036558032036,0.8406800031661987,43.70309066772461
Belize,LCN,Upper middle income,Young,1997,0.3190631568431854,0.1753372699022293,0.9367667436599731,42.29053115844727
Belize,LCN,Upper middle income,Urban,1997,0.5091092586517334,0.1322030425071716,0.9942723512649536,42.07665634155273
Belize,LCN,Upper middle income,High Education,1997,0.5458923578262329,0.1034610271453857,0.9859081506729126,42.70021438598633
Belize,LCN,Upper middle income,Old,1997,0.4298717975616455,0.05810818448662758,0.9451199173927307,43.1278190612793
Belize,LCN,Upper middle income,Female,1997,0.3901789784431458,0.1348361372947693,0.9430106282234192,38.15583038330078
Belize,LCN,Upper middle income,All,1997,0.3901789784431458,0.09300045669078827,0.9430106282234192,42.89844512939453
Belize,LCN,Upper middle income,Low Education,1997,0.3075182735919952,0.08703445643186569,0.9032507538795471,43.01148986816406
Belize,LCN,Upper middle income,Female,1998,0.3946970999240875,0.1291630417108536,0.9486069083213806,38.5836181640625
Belize,LCN,Upper middle income,High Education,1998,0.5517484545707703,0.1165310814976692,0.9950323104858398,41.87306213378906
Belize,LCN,Upper middle income,Rural,1998,0.2897903621196747,0.06533714383840561,0.8649612665176392,41.49164581298828
Belize,LCN,Upper middle income,Urban,1998,0.4885664880275726,0.1241409555077553,0.994773268699646,42.31864166259766
